ClusterID , Cluster     , Resource , Speed , Gwf
c000      , DAS4/fs3/c0, 1       , 1.0 , default.gwf
c001      , DAS4/fs3/c1, 1       , 1.0 ,
c002      , DAS4/fs3/c2, 1       , 1.0 ,
c003      , DAS4/fs3/c3, 1       , 1.0 ,
c004      , DAS4/fs3/c4, 1       , 1.0 ,
c005      , DAS4/fs3/c5, 1       , 1.0 ,
c006      , DAS4/fs3/c6, 1       , 1.0 ,
c007      , DAS4/fs3/c7, 1       , 1.0 ,
c008      , DAS4/fs3/c8, 1       , 1.0 ,
c009      , DAS4/fs3/c9, 1       , 1.0 ,
c010      , DAS4/fs3/c10, 1       , 1.0 ,
c011      , DAS4/fs3/c11, 1       , 1.0 ,
c012      , DAS4/fs3/c12, 1       , 1.0 ,
c013      , DAS4/fs3/c13, 1       , 1.0 ,
c014      , DAS4/fs3/c14, 1       , 1.0 ,
c015      , DAS4/fs3/c15, 1       , 1.0 ,
c016      , DAS4/fs3/c16, 1       , 1.0 ,
c017      , DAS4/fs3/c17, 1       , 1.0 ,
c018      , DAS4/fs3/c18, 1       , 1.0 ,
c019      , DAS4/fs3/c19, 1       , 1.0 ,
c020      , DAS4/fs3/c20, 1       , 1.0 ,
c021      , DAS4/fs3/c21, 1       , 1.0 ,
c022      , DAS4/fs3/c22, 1       , 1.0 ,
c023      , DAS4/fs3/c23, 1       , 1.0 ,
c024      , DAS4/fs3/c24, 1       , 1.0 ,
c025      , DAS4/fs3/c25, 1       , 1.0 ,
c026      , DAS4/fs3/c26, 1       , 1.0 ,
c027      , DAS4/fs3/c27, 1       , 1.0 ,
c028      , DAS4/fs3/c28, 1       , 1.0 ,
c029      , DAS4/fs3/c29, 1       , 1.0 ,
c030      , DAS4/fs3/c30, 1       , 1.0 ,
c031      , DAS4/fs3/c31, 1       , 1.0 ,
c032      , DAS4/fs3/c32, 1       , 1.0 ,
c033      , DAS4/fs3/c33, 1       , 1.0 ,
c034      , DAS4/fs3/c34, 1       , 1.0 ,
c035      , DAS4/fs3/c35, 1       , 1.0 ,
c036      , DAS4/fs3/c36, 1       , 1.0 ,
c037      , DAS4/fs3/c37, 1       , 1.0 ,
c038      , DAS4/fs3/c38, 1       , 1.0 ,
c039      , DAS4/fs3/c39, 1       , 1.0 ,
c040      , DAS4/fs3/c40, 1       , 1.0 ,
c041      , DAS4/fs3/c41, 1       , 1.0 ,
c042      , DAS4/fs3/c42, 1       , 1.0 ,
c043      , DAS4/fs3/c43, 1       , 1.0 ,
c044      , DAS4/fs3/c44, 1       , 1.0 ,
c045      , DAS4/fs3/c45, 1       , 1.0 ,
c046      , DAS4/fs3/c46, 1       , 1.0 ,
c047      , DAS4/fs3/c47, 1       , 1.0 ,
c048      , DAS4/fs3/c48, 1       , 1.0 ,
c049      , DAS4/fs3/c49, 1       , 1.0 ,
